StudentID,Age,Gender,Ethnicity,ParentalEducation,StudyTimeWeekly,Absences,Tutoring,ParentalSupport,Extracurricular,Sports,Music,Volunteering,GPA,GradeClass,Participation in class,"Test scores (Math, Reading, Writing)",Final grade,Internet access at home (Yes/No)
1045,18,1,0,1,18.92151236,1,1,3,1,1,0,0,4,0,Moderate,"67,89,81",C,Yes
1046,18,0,0,2,4.89431194,7,0,4,0,0,1,0,2.515300272,2,Passive,"66,98,69",C,No
1047,18,0,1,2,2.631306133,5,0,1,1,0,0,0,2.56376543,2,Moderate,"71,97,55",C,Yes
1048,17,0,0,2,6.04553401,15,0,2,0,0,0,0,1.703611803,4,Moderate,"90,55,100",B,Yes
1049,16,0,1,2,17.90170346,17,0,3,0,0,1,0,2.099885157,3,Active,"60,51,81",D,Yes
1050,16,1,1,1,19.44106949,16,0,4,1,0,0,0,2.461046963,3,Active,"87,100,54",B,No
1051,17,1,2,2,17.18649902,5,0,3,0,0,0,0,2.935477192,2,Moderate,"82,87,91",B,No
1052,16,1,2,0,2.200354423,12,1,1,1,0,1,0,1.986378059,4,Active,"83,71,66",C,No
1053,17,1,0,1,18.94855996,22,0,4,0,0,1,0,1.571544191,4,Active,"73,65,90",C,No
1054,18,0,0,2,8.467160547,13,0,1,0,1,0,0,1.66431069,4,Moderate,"92,79,57",C,No
1055,17,0,0,0,0.186205815,29,1,2,1,1,0,0,0.756259167,4,Moderate,"88,68,52",D,Yes
1056,18,0,0,1,8.847874815,25,0,2,0,1,0,0,0.802769539,4,Passive,"70,67,63",D,Yes
1057,18,1,0,4,0.921383394,20,0,2,0,1,1,0,1.342387178,4,Passive,"50,89,72",C,Yes
1058,15,0,0,4,10.87755842,29,0,3,1,0,0,0,0.286571288,4,Passive,"72,54,79",D,No
1059,17,0,0,1,6.771080549,9,1,3,0,1,0,0,2.613838694,2,Passive,"76,73,91",B,No
1060,15,1,3,0,9.468698672,23,0,3,0,1,0,0,0.929012555,4,Moderate,"85,70,57",C,No
1061,17,1,1,1,12.26340721,10,0,0,1,0,1,0,1.892758696,4,Moderate,"67,93,61",C,Yes
1062,17,0,0,1,17.37602192,12,0,2,0,0,1,0,2.331261549,3,Passive,"97,89,53",C,No
1063,15,0,1,3,13.23803153,11,0,3,0,1,0,0,2.234238473,3,Moderate,"58,59,55",F,Yes
1064,15,0,0,1,8.68097737,8,0,2,0,1,0,0,2.385828219,3,Passive,"93,67,65",C,Yes
1065,17,0,0,2,16.38855707,3,1,4,0,0,0,0,3.347356744,1,Passive,"76,51,75",D,Yes
1066,16,0,1,1,18.11164275,6,1,3,1,0,0,0,3.261855307,1,Moderate,"77,99,66",B,No
1067,18,0,0,4,2.395199329,23,0,3,0,1,0,0,1.039623879,4,Passive,"81,96,69",B,Yes
1068,15,1,0,1,10.63865955,28,0,0,0,1,0,0,0.027818625,4,Active,"84,93,92",B,No
1069,18,1,3,2,5.690239195,21,1,3,0,0,1,0,1.329964538,4,Moderate,"95,54,81",C,Yes
1070,16,1,2,1,0.941223958,1,0,4,0,0,1,0,3.283916522,1,Active,"83,55,51",D,Yes
1071,16,0,1,2,13.3709339,6,0,2,1,0,0,0,2.937454182,2,Active,"66,68,58",D,No
1072,16,1,1,1,17.25541555,28,0,3,0,0,1,1,0.738868203,4,Passive,"62,95,62",C,No
1073,15,0,1,1,3.25805309,8,0,2,1,1,0,0,2.556801663,2,Moderate,"95,74,60",C,No
1074,16,0,0,3,16.24827315,4,1,2,0,0,0,0,3.300928569,1,Passive,"91,56,67",C,Yes
1075,15,1,0,3,17.06791467,14,0,3,1,0,1,0,2.200682947,3,Active,"69,92,79",B,Yes
1076,16,0,0,3,18.28680885,17,0,3,0,1,0,0,1.855865573,4,Moderate,"84,83,55",C,Yes
1077,18,0,0,2,5.305701782,3,0,3,0,0,0,0,2.734401494,2,Active,"53,58,97",D,Yes
1078,18,1,1,3,18.0790613,18,1,1,1,1,0,0,2.131737297,3,Passive,"94,60,84",C,No
1079,17,1,0,0,6.413255095,19,0,1,0,0,0,0,0.979769911,4,Moderate,"68,95,65",C,Yes
1080,18,1,3,1,11.04676027,25,0,3,0,1,0,0,0.994325024,4,Active,"59,86,74",C,No
1081,17,0,3,1,1.010149417,6,0,1,0,1,0,0,2.074699977,3,Active,"83,53,50",D,No
1082,18,1,2,2,0.877621767,25,0,2,0,0,0,0,0.500508036,4,Moderate,"62,82,52",D,No
1083,15,1,1,1,14.40746425,7,0,0,1,1,0,0,2.532438418,2,Passive,"84,79,100",B,Yes
1084,18,0,2,1,8.88959956,16,0,1,0,1,0,0,1.463378036,4,Passive,"89,90,92",A,Yes
1085,17,1,0,2,5.125847507,12,0,3,1,1,0,0,2.342836773,3,Passive,"99,82,67",B,No
1086,17,1,2,3,3.80826992,23,0,3,0,0,0,0,1.158846334,4,Passive,"72,79,83",C,No
1087,16,1,0,1,13.39906982,20,1,1,1,0,1,1,1.523748745,4,Moderate,"91,80,52",C,No
1088,15,0,2,1,0.008030881,27,0,1,0,0,1,0,0,4,Moderate,"96,67,82",B,Yes
1089,18,0,0,1,16.11782338,22,0,0,1,0,1,0,1.058622014,4,Moderate,"84,89,71",B,No
1090,16,0,2,1,1.584992123,10,0,2,0,0,1,1,2.229740184,3,Passive,"70,82,56",D,No
1091,18,0,3,1,3.829792298,26,0,1,0,0,0,1,0.194743281,4,Active,"61,77,78",C,Yes
1092,18,1,0,2,7.724727906,0,0,2,1,1,0,0,3.506920071,0,Active,"64,50,51",F,No
1093,16,0,0,2,9.697174794,1,1,3,0,0,0,0,3.552286943,0,Passive,"64,74,57",D,No
1094,16,0,3,2,7.099902316,16,1,3,0,1,0,0,2.238491354,3,Active,"77,50,69",D,No
1095,16,1,0,1,6.4142433,4,0,1,1,1,0,0,2.708472344,2,Passive,"72,95,67",C,Yes
1096,16,1,2,3,19.27832024,29,0,3,0,0,0,1,0.732908234,4,Active,"62,70,97",C,Yes
1097,16,1,1,1,12.83159362,29,0,4,0,0,1,0,0.965482445,4,Moderate,"59,59,71",D,No
1098,18,0,0,2,0.468659107,5,0,2,0,1,0,0,2.55523286,2,Passive,"69,71,74",C,Yes
1099,16,0,0,3,8.603518169,25,0,2,1,0,1,1,0.7443223,4,Passive,"77,57,56",D,Yes
1100,15,0,0,1,17.50017399,24,0,2,0,0,0,0,0.722056581,4,Passive,"67,81,70",C,Yes
1101,17,1,2,1,6.029123728,23,1,1,1,1,0,1,1.27122953,4,Moderate,"59,85,70",C,Yes
1102,16,1,0,3,1.891126895,6,0,3,1,0,1,1,2.526142141,2,Active,"58,83,57",D,No
1103,16,0,1,1,15.16769543,27,0,3,1,1,0,0,0.942415395,4,Moderate,"85,67,62",C,No
1104,18,1,0,2,12.12027664,20,1,2,0,1,0,0,1.515639098,4,Active,"98,95,92",A,Yes
1105,16,1,1,0,11.40625016,29,0,3,1,0,0,0,0.648273927,4,Passive,"84,50,53",D,No
1106,16,1,2,2,1.071531192,14,0,3,0,1,1,1,2.048850082,3,Moderate,"72,61,53",D,No
1107,16,0,3,1,2.809980196,18,0,0,1,0,0,1,0.842295999,4,Passive,"90,57,51",D,No
1108,18,1,0,0,12.45098792,15,0,1,0,1,0,0,1.464187924,4,Passive,"67,84,76",C,Yes
1109,16,1,2,2,4.156476829,24,1,3,1,1,0,0,1.487946865,4,Active,"91,54,55",D,Yes
1110,17,0,2,1,10.08140159,12,1,4,0,0,0,0,2.587565796,2,Active,"75,88,96",B,No
1111,18,0,1,1,10.89763372,4,1,3,0,0,0,0,3.220806978,1,Passive,"93,50,67",C,No
1112,17,1,3,0,5.670143805,2,1,4,0,0,1,0,3.545159432,0,Active,"58,84,86",C,No
1113,18,1,0,1,18.96850311,2,0,2,0,0,0,0,3.089598953,1,Active,"92,62,59",C,Yes
1114,16,0,0,1,16.84928214,18,1,1,0,1,1,0,1.91995644,4,Active,"58,64,56",F,Yes
1115,17,0,2,0,14.44747015,13,1,2,0,0,0,0,2.198593185,3,Moderate,"52,97,67",C,No
1116,18,1,0,3,1.559877328,15,0,0,0,0,0,1,0.878212617,4,Active,"90,56,51",D,No
1117,15,1,2,0,2.122600386,21,0,3,1,0,1,0,1.340368648,4,Passive,"75,72,96",B,Yes
1118,16,1,2,2,9.855626917,16,0,4,0,0,0,0,1.819511336,4,Moderate,"82,79,70",C,No
1119,18,1,0,1,3.214266984,26,0,3,0,1,0,0,0.619350931,4,Passive,"86,55,96",C,Yes
1120,15,0,2,1,19.56530927,3,0,2,1,0,1,1,3.61946087,0,Active,"54,98,54",D,No
1121,18,1,0,3,3.170404681,12,1,1,1,1,0,0,2.174902796,3,Passive,"73,86,52",C,Yes
1122,15,1,1,1,9.749356709,7,1,1,0,1,1,0,2.974406015,2,Active,"70,91,59",C,Yes
1123,16,0,1,4,7.282421137,18,0,2,0,0,0,0,0.980735844,4,Passive,"96,93,60",B,Yes
1124,17,1,3,1,12.78772843,4,0,3,0,0,0,0,3.101673809,1,Moderate,"98,69,64",C,No
1125,15,0,0,2,2.580728178,1,1,2,1,0,1,0,3.498257342,1,Active,"68,61,50",F,No
1126,18,1,0,2,8.606328561,14,0,4,1,0,0,0,2.590553445,2,Passive,"60,71,72",D,Yes
1127,16,1,1,3,5.494100656,1,0,3,1,0,0,0,3.535003758,0,Moderate,"64,61,57",D,No
1128,15,0,2,2,17.75503049,10,1,1,0,1,0,0,2.819921745,2,Active,"86,56,78",C,No
1129,18,0,1,2,0.811714243,12,1,1,1,1,0,0,2.016596775,3,Passive,"74,57,50",D,No
1130,18,1,0,1,18.27454988,22,1,3,0,0,0,0,1.371185039,4,Passive,"80,66,96",B,Yes
1131,18,1,0,1,16.65988277,9,0,1,0,0,0,0,2.104795588,3,Active,"67,58,61",D,Yes
1132,15,1,0,3,5.951414329,2,0,3,0,0,0,0,3.030439089,1,Passive,"70,68,58",D,No
1133,15,0,2,1,15.78581309,4,1,2,0,1,0,0,3.582421872,0,Active,"52,87,74",C,Yes
1134,15,1,0,1,0.624271207,2,0,1,1,0,0,0,2.426546706,3,Active,"51,61,84",D,Yes
1135,17,0,0,2,19.33731101,5,1,2,1,0,0,0,3.16143627,1,Active,"86,74,97",B,Yes
1136,15,0,3,1,10.53189885,12,0,2,1,0,0,0,2.12263853,3,Active,"100,65,93",B,Yes
1137,15,1,0,4,6.065620521,9,0,3,0,1,0,0,2.204860581,3,Passive,"65,62,50",F,Yes
1138,15,0,3,2,7.251664252,18,0,0,1,0,1,1,1.1829875,4,Active,"97,85,92",A,No
1139,17,1,1,2,1.328107069,7,0,3,1,0,0,0,2.738795716,2,Active,"97,83,58",C,Yes
1140,15,1,2,3,19.78699028,17,1,3,0,0,0,0,2.237901301,3,Active,"78,96,72",B,No
1141,18,1,0,0,0.785838903,2,0,3,1,0,0,0,3.139481546,1,Passive,"69,80,89",C,No
1142,15,1,0,1,13.09814246,23,1,0,1,1,0,0,1.046044771,4,Passive,"71,51,90",C,No
1143,18,1,2,2,8.854718554,23,1,3,0,0,0,0,0.816458245,4,Active,"63,93,51",D,No
1144,18,0,2,1,18.97832436,16,0,2,1,0,1,0,2.033544621,3,Moderate,"58,90,72",C,Yes
1145,18,0,2,2,4.919994806,7,1,2,1,1,0,0,2.432078523,3,Active,"77,52,100",C,No
1146,17,1,0,3,10.64173648,9,0,3,1,0,0,0,2.65977132,2,Moderate,"53,66,55",F,No
1147,17,1,2,2,9.647124172,1,1,2,1,0,0,1,3.58888794,0,Moderate,"68,69,96",C,No
1148,17,0,2,1,14.05732888,11,0,3,0,1,0,0,2.314587628,3,Active,"63,94,83",B,No
1149,15,0,1,4,1.360204639,22,0,1,1,1,0,1,1.00722582,4,Active,"62,74,59",D,No
1150,18,0,2,2,3.8757826,5,0,3,1,0,0,0,2.881612321,2,Active,"72,62,78",C,Yes
1151,17,0,2,2,4.291296402,1,0,1,0,1,1,0,2.804504929,2,Active,"64,55,78",D,Yes
1152,17,1,1,1,14.7630151,20,1,3,0,1,0,0,1.762921124,4,Passive,"64,79,54",D,No
1153,15,1,0,3,3.782773927,22,0,4,1,0,0,1,1.119911263,4,Active,"79,94,60",C,No
1154,17,0,0,2,11.46983528,23,0,2,0,0,0,0,1.030657506,4,Active,"69,79,73",C,No
1155,15,1,0,2,4.30487641,2,0,2,1,0,0,0,3.075619354,1,Moderate,"59,50,61",F,No
1156,16,0,0,3,17.232499,16,1,3,1,1,0,0,2.631434065,2,Passive,"94,52,76",C,No
1157,17,1,0,1,18.84370909,28,0,0,0,1,1,1,0.503066907,4,Moderate,"50,64,79",D,No
1158,16,0,0,2,10.3698595,6,0,2,0,0,0,0,2.784237837,2,Moderate,"86,68,93",B,No
1159,15,1,0,3,7.046177684,28,0,2,0,0,0,0,0.247626765,4,Passive,"72,76,60",D,No
1160,18,0,0,1,4.6811555,20,0,3,0,0,0,1,1.18954877,4,Moderate,"73,83,68",C,Yes
1161,17,0,2,2,0.99562003,4,1,3,1,0,0,1,3.375994009,1,Moderate,"100,54,85",C,No
1162,15,1,3,3,5.370001524,22,1,3,0,0,0,0,1.293573556,4,Active,"65,84,55",D,Yes
1163,18,0,0,2,13.0847156,0,1,3,0,0,1,1,3.718586904,0,Active,"79,98,97",A,No
1164,18,1,3,2,10.67233863,7,0,3,1,0,0,0,2.670559615,2,Passive,"86,56,100",B,No
1165,16,1,1,3,18.88082557,11,1,2,1,0,0,0,2.369648013,3,Moderate,"63,64,75",D,No
1166,15,0,0,3,7.92554525,13,0,2,0,1,0,0,1.62448682,4,Active,"74,57,73",D,Yes
1167,18,1,0,1,13.87726685,15,1,2,1,1,0,0,2.537476828,2,Active,"60,88,86",C,No
1168,17,1,1,0,9.78645495,9,0,4,0,1,0,0,2.298417929,3,Passive,"85,50,92",C,Yes
1169,17,1,2,2,10.25152432,14,0,3,1,0,0,0,2.25980415,3,Active,"75,66,97",C,No
1170,16,1,2,2,5.355486292,20,0,2,0,1,0,0,1.321343301,4,Moderate,"89,73,58",C,Yes
1171,18,1,0,2,9.099015537,23,0,3,0,1,0,0,0.949974228,4,Moderate,"93,52,97",B,No
1172,15,0,0,2,9.41569994,25,0,2,1,0,0,1,0.818786616,4,Active,"84,55,75",C,Yes
1173,17,1,0,1,14.13285043,14,1,3,0,0,0,0,2.339224513,3,Moderate,"92,69,82",B,Yes
1174,18,1,0,2,18.81279998,9,0,2,0,1,0,0,2.682776288,2,Moderate,"89,69,72",C,No
1175,18,1,0,1,6.58642555,20,1,1,1,0,0,0,1.543837471,4,Moderate,"97,68,52",C,No
1176,16,1,0,2,0.844009372,27,0,3,1,0,0,0,0.196901105,4,Passive,"90,73,55",C,No
1177,17,1,2,2,9.92590251,6,0,3,0,0,0,0,2.748610257,2,Moderate,"54,71,99",C,No
1178,17,0,3,1,10.88922664,25,1,2,1,0,1,0,1.104893788,4,Active,"63,57,78",D,No
1179,15,1,0,1,3.368811023,2,0,2,1,0,0,0,2.553439811,2,Moderate,"73,61,94",C,Yes
1180,17,0,3,2,15.20929213,1,0,3,1,0,0,1,3.274233459,1,Moderate,"84,54,97",C,No
1181,15,0,0,2,19.69858217,5,1,3,0,0,0,0,3.186060378,1,Moderate,"65,77,74",C,No
1182,17,0,0,1,18.91549434,20,0,3,1,0,0,0,1.72211575,4,Moderate,"64,86,94",B,Yes
1183,16,0,0,4,3.942120776,8,0,2,1,1,0,0,2.338046358,3,Moderate,"65,92,69",C,Yes
1184,17,1,1,2,17.5072648,9,1,4,1,1,0,0,3.273998748,1,Active,"85,51,72",D,No
1185,15,0,3,4,14.08987273,3,0,3,0,0,0,0,2.993502391,2,Passive,"73,86,57",C,Yes
1186,15,0,1,2,9.076931276,26,1,3,1,0,0,0,0.896397899,4,Moderate,"97,55,61",C,Yes
1187,16,1,0,2,10.81221989,2,0,3,0,0,0,0,2.961055259,2,Moderate,"87,77,85",B,No
1188,17,1,1,3,16.9920035,8,0,1,1,0,0,0,2.674351095,2,Passive,"55,51,55",F,No
1189,17,1,0,2,9.602698793,23,0,0,1,1,0,0,1.217873151,4,Moderate,"58,88,90",C,No
1190,16,0,2,2,7.464147382,21,1,3,0,0,0,0,1.36559111,4,Active,"58,51,69",F,Yes
1191,17,1,1,1,9.864949861,16,0,2,0,0,0,1,1.522274845,4,Active,"88,94,75",B,Yes
1192,17,1,0,2,11.58259608,13,1,3,0,0,0,0,2.231402397,3,Active,"99,96,100",A,No
1193,15,0,1,1,3.781553076,9,0,2,1,0,0,0,2.135266355,3,Passive,"91,70,97",B,No
1194,17,1,1,1,18.01815461,12,0,2,0,0,0,0,2.255698915,3,Active,"64,78,95",C,Yes
1195,17,1,0,0,13.48373898,11,1,1,1,0,1,0,2.751145788,2,Moderate,"63,53,62",F,No
1196,16,1,1,0,12.66537835,26,0,3,1,1,0,0,0.897634159,4,Passive,"58,68,87",C,No
1197,16,1,0,4,1.989924524,0,0,1,1,0,0,1,3.117354435,1,Active,"68,54,80",D,Yes
1198,18,0,2,1,12.08347876,27,0,3,1,0,1,0,1.287595131,4,Moderate,"56,69,90",C,Yes
1199,15,1,2,2,2.419213245,21,0,2,0,0,0,0,0.571053098,4,Passive,"91,90,82",B,No
1200,17,1,2,3,1.573953504,28,0,3,1,0,0,0,0.581355799,4,Active,"52,72,99",C,Yes
1201,17,0,1,2,10.54621791,18,0,1,0,0,1,0,1.643462404,4,Active,"60,69,62",D,No
1202,18,1,1,1,8.055710681,18,0,1,0,0,0,0,1.234844041,4,Passive,"65,61,85",C,No
1203,17,0,0,2,11.7762054,5,0,3,0,1,0,1,2.96809362,2,Moderate,"53,97,85",C,Yes
1204,15,1,2,2,1.784443361,12,0,2,1,0,0,0,2.00929848,3,Moderate,"68,67,74",D,Yes
1205,18,0,0,2,8.619661257,18,0,1,1,0,0,0,1.146086034,4,Moderate,"75,80,73",C,No
1206,15,0,0,2,3.495734301,12,1,4,0,0,0,0,2.192363198,3,Passive,"95,70,83",B,Yes
1207,18,0,0,4,19.74200172,26,1,1,1,0,0,0,0.945730873,4,Moderate,"50,69,73",D,No
1208,18,0,0,2,11.22300425,25,0,2,1,0,0,0,0.567250028,4,Moderate,"63,100,81",B,No
1209,16,1,1,1,13.74873722,21,0,1,0,0,0,0,0.970764347,4,Passive,"83,98,53",C,No
1210,15,0,0,2,6.508365614,20,1,2,1,0,1,1,1.656060126,4,Passive,"79,84,56",C,Yes
1211,17,1,2,0,1.894778296,3,0,2,0,0,1,0,2.839313249,2,Passive,"84,100,87",A,No
1212,17,0,0,3,19.51741726,23,0,1,0,0,1,1,0.18981806,4,Active,"75,67,98",B,Yes
1213,15,0,0,1,5.725180708,1,0,3,1,0,0,0,3.258294685,1,Moderate,"77,86,84",B,Yes
1214,17,0,1,1,8.476163703,14,1,2,0,0,0,0,1.920055853,4,Active,"96,54,80",C,No
1215,17,1,0,3,12.99727843,11,0,3,0,0,0,0,2.021771494,3,Moderate,"97,55,96",B,Yes
1216,15,0,0,2,0.493945954,29,1,1,1,0,0,0,0.125933075,4,Passive,"80,61,66",D,Yes
1217,18,1,2,1,16.20518261,26,1,2,1,0,0,0,1.287013412,4,Passive,"80,77,96",B,No
1218,15,1,0,2,10.7315638,6,0,0,1,0,1,0,2.591426703,2,Moderate,"91,59,68",C,Yes
1219,18,1,2,3,5.564343741,19,1,3,0,0,0,0,1.463379649,4,Active,"89,66,50",D,No
1220,17,1,0,1,1.232159706,17,0,3,0,0,0,0,1.465549386,4,Moderate,"87,67,94",B,Yes
1221,17,1,0,3,3.249968309,22,0,3,1,1,0,1,1.710466838,4,Passive,"97,60,74",C,Yes
1222,17,1,2,0,17.90067718,12,0,2,0,1,0,1,2.288505685,3,Moderate,"94,74,93",B,Yes
1223,16,1,0,2,13.72048448,16,0,3,0,0,1,0,1.960968849,4,Passive,"58,94,68",C,Yes
1224,18,1,0,3,4.998034433,3,0,3,0,0,0,0,2.621623326,2,Passive,"98,94,96",A,No
1225,16,1,0,1,1.312015299,24,0,0,1,0,0,0,0.768316386,4,Moderate,"62,63,55",D,No
1226,16,0,0,2,13.81230625,13,0,1,0,0,1,0,1.806406345,4,Moderate,"75,62,50",D,No
1227,15,0,2,1,11.44815452,19,0,2,0,0,0,0,0.881866353,4,Active,"65,83,75",C,No
1228,16,0,0,2,8.090390489,27,0,3,0,1,0,0,0.817068221,4,Active,"85,90,71",B,No
1229,15,0,2,2,7.272228984,12,1,0,0,0,0,0,1.446132528,4,Passive,"98,93,57",B,No
1230,15,0,2,2,4.336285519,2,0,3,0,1,0,0,3.339094362,1,Passive,"52,89,93",C,Yes
1231,16,1,0,1,13.39222513,25,0,2,0,0,0,0,0.819625478,4,Active,"86,68,81",C,No
1232,18,1,3,1,19.41336056,25,0,2,0,0,0,0,0.676817973,4,Active,"61,95,60",C,Yes
1233,18,1,0,0,3.514304917,17,0,1,0,1,0,1,1.389544874,4,Active,"55,85,92",C,Yes
1234,18,1,3,1,11.9423324,13,0,2,0,1,0,1,1.991508414,4,Active,"97,96,81",A,No
1235,18,1,0,2,8.483701115,14,0,0,0,1,0,0,1.63986755,4,Passive,"92,100,53",B,Yes
1236,18,1,1,3,8.933774435,2,0,0,0,1,0,0,2.511743021,2,Passive,"94,100,94",A,Yes
1237,16,1,0,2,5.082945603,0,0,3,0,0,1,0,2.98391995,2,Passive,"51,90,85",C,Yes
1238,16,0,0,2,16.50269751,25,1,2,0,0,1,0,1.258654854,4,Passive,"65,84,72",C,Yes
1239,17,0,1,4,9.705112083,23,1,2,0,0,0,0,1.417929927,4,Active,"100,94,60",B,No
1240,18,0,2,2,10.86811704,16,0,1,1,0,1,0,1.597016572,4,Moderate,"92,89,67",B,No
1241,16,0,0,3,6.095218256,2,1,2,0,1,0,0,3.088699868,1,Passive,"85,59,88",C,Yes
1242,17,1,0,2,3.636169313,13,0,0,1,1,0,0,1.641341443,4,Active,"76,72,71",C,Yes
1243,18,1,2,1,1.718207764,2,0,2,0,1,0,0,2.586870656,2,Passive,"76,56,84",C,Yes
1244,15,1,1,0,14.28238282,12,1,2,0,0,0,0,2.389032645,3,Active,"58,80,80",C,Yes
1245,17,0,3,2,3.924685634,14,0,2,1,0,0,0,1.8981464,4,Moderate,"56,96,78",C,No
1246,16,1,2,1,13.80150708,17,0,4,0,1,0,0,2.110487975,3,Moderate,"70,57,98",C,Yes
1247,15,1,3,1,7.807528921,13,0,2,0,0,0,0,1.700273589,4,Passive,"52,60,61",F,Yes
1248,15,1,2,2,8.31549602,20,0,2,1,0,0,0,1.044499995,4,Passive,"92,97,77",B,No
1249,15,0,0,2,9.383549922,25,0,2,0,1,0,0,1.194166134,4,Moderate,"81,82,50",C,Yes
1250,17,1,0,2,7.354170163,2,0,1,0,0,1,0,2.649136828,2,Moderate,"50,50,71",F,No
